Compound,MagpieData mean SpaceGroupNumber,MagpieData minimum GSvolume_pa,avg ionic char,MagpieData range MeltingT,MagpieData avg_dev MendeleevNumber,mean_diff_eta,MagpieData maximum CovalentRadius,avg anion electron affinity,MagpieData minimum AtomicWeight,geom-mean_eta_both,Thermo_Dyn_stability_level
OH-OH-Ba,128.2,6.615,0.14322797180570998,985.99,25.76,7.2,215.0,-282000.0,1.00794,7.37669806729351,1
OH-OH-Be,121.2,6.615,0.105244623200963,1545.99,7.2,62.2,96.0,-282000.0,1.00794,12.8588436550718,4
OH-OH-Ca,127.4,6.615,0.137189766026072,1100.99,26.4,14.1,176.0,-282000.0,1.00794,8.516884546457849,1
OH-OH-Cd,121.2,6.615,0.09889557733587598,580.21,6.24,4.7,144.0,-282000.0,1.00794,6.86126868108657,1
OH-OH-Co,121.2,6.615,0.08954688911113198,1753.99,10.08,2.6,126.0,-282000.0,1.00794,6.3591143631848706,3
OH-OH-Cu,127.4,6.615,0.088624691225554,1343.76,8.16,2.7,132.0,-282000.0,1.00794,6.38486004623137,1
OH-OH-Fe,128.2,6.615,0.09190800442476402,1796.99,11.04,1.7,132.0,-282000.0,1.00794,6.1173919141762605,4
OH-OH-Mg,121.2,6.615,0.119700902211027,908.99,6.88,26.9,141.0,-282000.0,1.00794,10.0635947139184,1
OH-OH-Mn,125.8,6.615,0.106328364013035,1504.99,12.0,3.7,139.0,-282000.0,1.00794,6.63162053255274,5
OH-OH-Ni,127.4,6.615,0.08816855442566801,1713.99,9.12,2.9,124.0,-282000.0,1.00794,6.43573757013074,1
OH-OH-Pb,127.4,6.615,0.072608086696354,586.6,3.36,2.9,146.0,-282000.0,1.00794,6.43573757013074,1
OH-OH-Pd,127.4,6.615,0.07659383301793801,1814.04,8.8,1.2,139.0,-282000.0,1.00794,5.97440952831622,5
OH-OH-Pt,127.4,6.615,0.074043467901007,2027.39,8.48,2.4,136.0,-282000.0,1.00794,6.30698813048419,5
