Feature,Features,Lasso,PI,RFE,Ridge,XGB,Mean
mean EN difference,$\bar {\Delta \chi}$,0,0.01,1,0.48,1,0.5
geom-mean_eta_both,$GM(\eta)$,1,0.01,0.77,0.17,0,0.39
MagpieData mean Electronegativity,$\bar {\chi}$,0,0.01,0.95,0.98,0.009999999776483,0.39
max ionic char,$IC^{max}$,0,0.01,0.87,0.96,0,0.37
MagpieData avg_dev MendeleevNumber,$\hat{MN}$,0.58,0.01,0.85,0.17,0.03999999910593,0.33
MagpieData minimum Electronegativity,$\chi^{min}$,0,0.01,0.91,0.63,0.109999999403954,0.33
avg ionic char,$\bar{IC}$,0,0.01,0.94,0.6,0.100000001490116,0.33
MagpieData range MeltingT,$T_{M}^{range}$,0,1,0.65,0,0.009999999776483,0.33
MagpieData mean Row,$\bar{P}$,0,0.01,0.58,1,0,0.32
MagpieData avg_dev NpValence,"$\hat{N_{p,V}}$",0,0.01,0.96,0.51,0.070000000298023,0.31
MagpieData mean GSbandgap,$\bar{E_{g}}$,0,0.01,0.96,0.45,0.019999999552965,0.29
std_dev EN difference,$\sigma(\Delta \chi)$,0,0.01,0.55,0.78,0,0.27
MagpieData avg_dev MeltingT,$\hat{T_{M}}$,0,0.37,0.94,0,0.009999999776483,0.26
MagpieData mean SpaceGroupNumber,$\bar{SG}$,0.06,0.01,1,0,0.159999996423721,0.25
MagpieData maximum MeltingT,$T_{M}^{max}$,0,0.37,0.82,0,0.009999999776483,0.24
MagpieData avg_dev Electronegativity,MagpieData avg_dev Electronegativity,0,0.01,0.97,0.18,0.019999999552965,0.24
MagpieData avg_dev Row,MagpieData avg_dev Row,0,0.01,0.56,0.63,0,0.24
MagpieData range MendeleevNumber,MagpieData range MendeleevNumber,0,0.02,1,0.03,0.129999995231628,0.24
MagpieData avg_dev NUnfilled,MagpieData avg_dev NUnfilled,0,0.01,0.99,0.07,0.119999997317791,0.24
MagpieData avg_dev GSmagmom,MagpieData avg_dev GSmagmom,0,0.01,0.45,0.7,0,0.23
MagpieData avg_dev Column,MagpieData avg_dev Column,0,0.01,0.88,0.23,0.019999999552965,0.23
MagpieData mean GSmagmom,MagpieData mean GSmagmom,0,0.01,0.43,0.64,0,0.22
minimum EN difference,minimum EN difference,0,0.01,0.9,0.15,0.019999999552965,0.22
MagpieData mean NpValence,MagpieData mean NpValence,0,0.01,0.7,0.38,0.009999999776483,0.22
MagpieData mean MeltingT,MagpieData mean MeltingT,0,0.05,0.98,0,0.019999999552965,0.21
avg anion electron affinity,avg anion electron affinity,0,0.02,0.99,0,0.029999999329448,0.21
MagpieData mean MendeleevNumber,MagpieData mean MendeleevNumber,0,0.01,0.93,0.11,0,0.21
mean_diff_eta,mean_diff_eta,0,0.01,0.97,0.01,0,0.2
MagpieData mean AtomicWeight,MagpieData mean AtomicWeight,0.03,0.03,0.84,0.1,0,0.2
mean_eta_anion,mean_eta_anion,0,0.01,0.92,0.05,0.009999999776483,0.2
MagpieData mean Number,MagpieData mean Number,0,0.01,0.58,0.35,0,0.19
maximum EN difference,maximum EN difference,0,0.01,0.79,0.17,0,0.19
max_eta_anion,max_eta_anion,0,0.01,0.86,0.05,0.009999999776483,0.19
MagpieData maximum MendeleevNumber,MagpieData maximum MendeleevNumber,0.16,0.01,0.74,0.02,0.009999999776483,0.19
MagpieData avg_dev GSvolume_pa,MagpieData avg_dev GSvolume_pa,0,0.01,0.92,0.01,0,0.19
M_oxid_state,M_oxid_state,0,0.01,0.72,0.24,0,0.19
eta_cation,eta_cation,0,0,0.91,0.04,0.009999999776483,0.19
std-dev_eta_anion,std-dev_eta_anion,0,0.01,0.89,0.01,0,0.18
min_eta_anion,min_eta_anion,0,0.01,0.81,0.06,0,0.18
MagpieData mean GSvolume_pa,MagpieData mean GSvolume_pa,0,0.01,0.86,0.04,0,0.18
2-norm,2-norm,0,0.01,0.81,0.06,0,0.18
avg f valence electrons,avg f valence electrons,0,0.01,0.87,0.02,0,0.18
mean_eta_both,mean_eta_both,0,0.01,0.82,0.05,0,0.18
MagpieData avg_dev GSbandgap,MagpieData avg_dev GSbandgap,0,0.01,0.8,0.07,0,0.18
MagpieData avg_dev SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,0,0.02,0.89,0,0.009999999776483,0.18
MagpieData mean NValence,MagpieData mean NValence,0,0.01,0.72,0.16,0,0.18
MagpieData maximum CovalentRadius,MagpieData maximum CovalentRadius,0.13,0.02,0.73,0.01,0.019999999552965,0.18
MagpieData maximum Electronegativity,MagpieData maximum Electronegativity,0,0.01,0.21,0.63,0.019999999552965,0.17
MagpieData mode Electronegativity,MagpieData mode Electronegativity,0,0.01,0.67,0.15,0.019999999552965,0.17
MagpieData mode MendeleevNumber,MagpieData mode MendeleevNumber,0,0.01,0.84,0,0.009999999776483,0.17
MagpieData mean Column,MagpieData mean Column,0,0.01,0.47,0.35,0,0.17
MagpieData mean NUnfilled,MagpieData mean NUnfilled,0,0.01,0.83,0,0.009999999776483,0.17
MagpieData avg_dev CovalentRadius,MagpieData avg_dev CovalentRadius,0.07,0.01,0.7,0.03,0,0.16
